Unnamed: 0,job,location,date,company,country
0,AI Remote Jobs - Photo Collections – Paid Study,France À distance,Il y a 2 semaines,TransPerfect,france
1,AI Remote Jobs - Photo Collection – Global Participants,Guyane À distance,Il y a 1 semaine,TransPerfect,france
2,AI Remote Jobs - Photo Collection – Global Participants,Guyane À distance,Il y a 1 semaine,TransPerfect,france
3,Stagiaire Data Scientist H/F,"Paris, Île-de-France, France Sur site",Il y a 2 semaines,Jobs via eFinancialCareers,france
4,Data Scientist - Lutte contre la Fraude H/F,"Paris, Île-de-France, France Sur site",Il y a 6 jours,Jobs via eFinancialCareers,france
5,Développeur full stack,"Ville de Paris, Île-de-France, France Hybride","Il y a 10 heures

                Au cours des 24 dernières heures",Scal-e,france
6,AI Jobs -Photo Collection – Global Participants,Nouvelle-Calédonie À distance,Il y a 1 semaine,TransPerfect,france
7,Open jobs application,France À distance,Il y a 1 semaine,Sweep,france
8,AI Jobs -Photo Collection – Global Participants,Wallis et Futuna À distance,Il y a 1 semaine,TransPerfect,france
9,Development Tester (H/F/NB),"Montpellier, Occitanie, France Sur site",Il y a 4 jours,Ubisoft,france
10,Data Engineer (H/F) en Stage,"Nanterre, Île-de-France, France Sur site",Il y a 2 semaines,AXA en France,france
11,Stage – Data science : Evaluation de l’apprentissage profond pour les données tabulaires (H/F),"Clermont-Ferrand, Auvergne-Rhône-Alpes, France Sur site",Il y a 1 semaine,Michelin,france
12,Stage – Data Science : Analyse de séries temporelles pour la prédiction d’évènements rares (H/F),"Clermont-Ferrand, Auvergne-Rhône-Alpes, France Sur site",Il y a 1 semaine,Michelin,france
13,Stage - Structure documentaire étalonnage et incertitudes de mesure à Ladoux(H/F),"Clermont-Ferrand, Auvergne-Rhône-Alpes, France Sur site","Il y a 5 heures

                Au cours des 24 dernières heures",Michelin,france
14,Sales Assistant - Ascot,"Asques, Occitanie, France Sur site","Il y a 2 heures

                Au cours des 24 dernières heures",WHSmith,france
15,Sales Assistant - Ascot,"Asques, Occitanie, France Sur site","Il y a 2 heures

                Au cours des 24 dernières heures",WHSmith,france
16,Développeur JavaScript,"Boulogne-Billancourt, Île-de-France, France Sur site","Il y a 3 heures

                Au cours des 24 dernières heures",TRYGR.,france
17,Search Evaluators for Catalan Speakers in France,"Saint-Étienne-du-Rouvray, Normandie, France À distance",Il y a 2 semaines,Appen,france
18,Search Evaluators for Catalan Speakers in France,"Le Havre, Normandie, France À distance",Il y a 2 semaines,Appen,france
19,Search Evaluators for Catalan Speakers in France,"Cergy-Pontoise, Île-de-France, France À distance",Il y a 2 semaines,Appen,france
20,Data Scientist Risques,"Paris, Île-de-France, France Sur site",Il y a 2 semaines,Jobs via eFinancialCareers,france
21,Data Scientist (F/H),"Paris, Île-de-France, France Sur site",Il y a 1 mois,Jobs via eFinancialCareers,france
22,Data Analyst,"Paris, Île-de-France, France Sur site",Il y a 1 mois,Jobs via eFinancialCareers,france
23,Search Evaluators for Catalan Speakers in France,"Limoges, Nouvelle-Aquitaine, France À distance",Il y a 2 semaines,Appen,france
24,Développeur Big Data,"Nantes, Pays de la Loire, France Hybride",Il y a 2 semaines,My Money Group,france
0,Business Development Specialist – Turkish Speaker (Budapest-based),"Nice, Provence-Alpes-Côte d’Azur, France",Il y a 4 jours,Agoda,france
1,Technicien support,"Lyon, Auvergne-Rhône-Alpes, France Sur site",Il y a 1 semaine,iDocteur,france
2,Product Owner Assurance,"Paris, Île-de-France, France Sur site",Il y a 1 mois,Jobs via eFinancialCareers,france
3,Opérateur de production à Roanne (H/F),"Roanne, Auvergne-Rhône-Alpes, France Sur site",Il y a 4 mois,Michelin,france
4,SAS Part Time Travel Reset Merchandiser,"US, Île-de-France, France Sur site",Il y a 1 semaine,SAS Retail Services,france
5,Recruteur(se) IT,"Île-de-France, France Sur site","Il y a 8 heures

                Au cours des 24 dernières heures",Agoda,france
6,"Analyst, Marketing Innovation (Bangkok Based, relocation provided)","Paris, Île-de-France, France",Il y a 2 semaines,Disneyland Paris,france
7,Paralegal - Data Protection and Privacy (GDPR),"Marne-la-Vallée, Île-de-France, France Sur site",Il y a 1 semaine,Accenture France,france
8,Data Scientist and Software Engineer Consutant,"Nice, Provence-Alpes-Côte d’Azur, France Hybride",Il y a 1 jour,Aggreko,france
9,Temperature Control Apprentice,"Lyon, Auvergne-Rhône-Alpes, France Sur site",Il y a 4 jours,Agoda,france
10,"Content Analyst(Bangkok based, relocation provided)","Nice, Provence-Alpes-Côte d’Azur, France",Il y a 2 semaines,Adikteev - app re-engagement platform,france
11,Senior Data Engineer (remote work possible),"Ville de Paris, Île-de-France, France Hybride",Il y a 2 semaines,PharmiWeb.Jobs,france
12,CRA Junior - Paris - différentes aires thérapeutiques,"Salernes, Provence-Alpes-Côte d’Azur, France Sur site",Il y a 1 semaine,Ogury Ltd,france
13,Data Scientist,"Paris, Île-de-France, France Sur site",Il y a 2 semaines,GitGuardian,france
14,Web Developer,"Ville de Paris, Île-de-France, France Hybride",Il y a 2 semaines,iDocteur,france
15,Technicien support,"Lyon, Auvergne-Rhône-Alpes, France Sur site",Il y a 1 semaine,Jobs via eFinancialCareers,france
16,Business Analyst Front Office (F/H),"Paris, Île-de-France, France Sur site",Il y a 1 semaine,Toptal,france
17,Data Engineer,"Strasbourg, Grand Est, France À distance","Il y a 21 heures

                Au cours des 24 dernières heures",Ansys,france
18,Research internship: retro-reflective and specular peak (rusinkiewicz parametrization),"Solliès-Pont, Provence-Alpes-Côte d’Azur, France",Il y a 1 semaine,Wake IT UP - Experts en Recrutement TECH,france
19,Ingénieur QA – junior accepté - Editeur Data & IA,Paris et périphérie Hybride,Il y a 1 mois,BIOCODEX,france
20,Chef de projet AMOA Applicatifs H/F – CDI,"Gentilly, Île-de-France, France Sur site",Il y a 2 semaines,Imerys,france
21,OT Data Architect,"Île-de-France, France Hybride",Il y a 5 jours,PharmiWeb.Jobs,france
