Unnamed: 0,job,location,date,company,country
0,"ICT-Computer Teacher for School in Qatar, INTERNATIONAL TEACHER PLUS","Doha, Doha, Qatar Sur site",Il y a 1 semaine,Guardian Jobs,qatar
1,2022 Summer Intern Program - Wealth Management - Qatar,"Doha, Qatar Sur site",Il y a 1 jour,UBS,qatar
2,"People Data Analyst(Bangkok based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 1 semaine,Agoda,qatar
3,"People Data Analyst(Bangkok based, relocation provided)","Doha, Qatar",Il y a 1 semaine,Agoda,qatar
4,Qatar - Tech/Quant Hybrid- Python | Matlab | Financial Markets,"Doha, Doha, Qatar Sur site","Il y a 20 heures

                Au cours des 24 dernières heures",Jobs via eFinancialCareers,qatar
5,"Senior Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 1 semaine,Agoda,qatar
6,"Analyst, Partner Development(PDe) – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
7,Systems Engineer (Oracle ERP),"Doha, Qatar Sur site",Il y a 2 jours,Qatar Airways,qatar
8,"Senior Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Doha, Qatar",Il y a 1 semaine,Agoda,qatar
9,"Analyst, Partner Development(PDe) – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
10,Associate Data Analyst- Customer Experience Group | Bangkok-based,"Doha, Qatar",Il y a 2 semaines,Agoda,qatar
11,Associate Data Analyst- Customer Experience Group | Bangkok-based,"Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
12,"English Teachers for Secondary School in Qatar, INTERNATIONAL TEACHER PLUS","Doha, Doha, Qatar Sur site",Il y a 1 semaine,Guardian Jobs,qatar
13,Painter,"Doha, Qatar Sur site",Il y a 1 semaine,Qatar Airways,qatar
14,"People BI Specialist (Bangkok Based, Relocation Provided)","Doha, Qatar",Il y a 1 semaine,Agoda,qatar
15,"Content Analyst(Bangkok based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
16,Officer Service Quality - QNB First,"Doha, Doha, Qatar Sur site",Il y a 1 mois,Jobs via eFinancialCareers,qatar
17,"Senior Data Analyst (Bangkok Based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 1 semaine,Agoda,qatar
18,"Senior Data Analyst (Bangkok Based, relocation provided)","Doha, Qatar",Il y a 1 semaine,Agoda,qatar
19,"Content Analyst(Bangkok based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
20,"Analyst, Marketing Innovation (Bangkok Based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
21,"Analyst, Marketing Innovation (Bangkok Based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
22,"People BI Specialist (Bangkok Based, Relocation Provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 1 semaine,Agoda,qatar
23,"High School Specialist Teachers-Maths/Science/English, ASQ EDUCATION","Doha, Doha, Qatar Sur site",Il y a 2 semaines,Guardian Jobs,qatar
24,"Analyst, Pulse Marketing (Bangkok Based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
0,"Analyst (Bangkok Based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
1,"Analyst (Bangkok Based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
2,"Analyst, Pulse Marketing (Bangkok Based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
3,Technician,"Doha, Doha, Qatar Sur site",Il y a 6 jours,Carrier,qatar
4,"Analyst/ Sr Analyst, Marketing (Bangkok Based, relocation provided)","Doha, Qatar",Il y a 1 semaine,Agoda,qatar
5,"Analyst/ Sr Analyst, Marketing (Bangkok Based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 1 semaine,Agoda,qatar
6,Organizational Design Specialist,"Doha, Qatar Sur site",Il y a 3 semaines,Qatar Foundation,qatar
7,"Analyst (Business Intelligence) – Supply Strategy and Optimisation (Bangkok based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
8,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
9,"Analyst (Business Intelligence) – Supply Strategy and Optimisation (Bangkok based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
10,"Senior Analyst (Bangkok based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 1 semaine,Agoda,qatar
11,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
12,"Analyst- Supply Insights (Bangkok based, Relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
13,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
14,"Front End Engineer – Data Experience Team (Bangkok based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
15,"Senior Analyst (Bangkok based, relocation provided)","Doha, Qatar",Il y a 1 semaine,Agoda,qatar
16,"Project Manager, Aurea Software (Remote) - $30,000/year USD","Doha, Qatar À distance",Il y a 1 jour,Crossover for Work,qatar
17,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
18,"Analyst- Supply Insights (Bangkok based, Relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
19,"Data Engineer – Apache Spark (Java/Scala) (Bangkok based, Relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
20,Policy & OD Specialist,"Doha, Qatar Sur site",Il y a 5 jours,NKOM - Nakilat Keppel Offshore & Marine Ltd,qatar
21,"Software Engineer, Trilogy (Remote) - $100,000/year USD","Doha, Qatar À distance",Il y a 1 jour,Crossover for Work,qatar
22,Engineering Manager in Back End (Bangkok based),"Doha, Qatar",Il y a 2 semaines,Agoda,qatar
23,"Software Developer, Trilogy (Remote) - $100,000/year USD","Doha, Qatar À distance",Il y a 1 jour,Crossover for Work,qatar
24,Graphic Designer,"Doha, Qatar Sur site","Il y a 20 heures

                Au cours des 24 dernières heures",VAM Systems,qatar
0,"Scrum Master, Aurea Software (Remote) - $30,000/year USD","Doha, Qatar À distance",Il y a 1 jour,Crossover for Work,qatar
1,Funds Accountant,"Doha, Doha, Qatar Sur site",Il y a 1 mois,Jobs via eFinancialCareers,qatar
2,"Senior Analyst- Customer Experience Group(Bangkok Based, relocation provided)","Al Rayyan, Al Rayyan, Qatar",Il y a 2 semaines,Agoda,qatar
3,"Senior Analyst- Customer Experience Group(Bangkok Based, relocation provided)","Doha, Qatar",Il y a 2 semaines,Agoda,qatar
4,Opportunity for the role of Data Testing Engineer with one of the Largest Airline Company in the World(Job Location:Dubai),"Doha, Qatar Sur site",Il y a 4 jours,IGT Solutions,qatar
