Unnamed: 0,job,location,date,company,country
0,Business Analysis Supervisor|5105 - 5002119HO,"Riyad, Riyad, Arabie saoudite Sur site",Il y a 1 jour,stc,saudi
1,Senior Data Mining Analyst|000042 - 5002711HO,"Riyad, Riyad, Arabie saoudite",Il y a 1 jour,stc,saudi
2,Low Current Technician - ICT,"Damman, Province de l'Est, Arabie saoudite Sur site","Il y a 7 heures

                Au cours des 24 dernières heures",Agoda,saudi
3,"People Data Analyst(Bangkok based, relocation provided)","Djeddah, La Mecque, Arabie saoudite",Il y a 1 semaine,Agoda,saudi
4,"People Data Analyst(Bangkok based, relocation provided)","La Mecque, La Mecque, Arabie saoudite",Il y a 1 semaine,IHG Hotels & Resorts,saudi
5,Receptionist (Local Talent Preferred),"Al Aziziah, Province de l'Est, Arabie saoudite Sur site",Il y a 1 semaine,Agoda,saudi
6,"Analyst, Partner Development(PDe) – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Djeddah, La Mecque, Arabie saoudite",Il y a 2 semaines,Agoda,saudi
7,"Analyst, Partner Development(PDe) – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","La Mecque, La Mecque, Arabie saoudite",Il y a 2 semaines,Agoda,saudi
8,"People Data Analyst(Bangkok based, relocation provided)","Riyad, Riyad, Arabie saoudite",Il y a 1 semaine,Jobs via eFinancialCareers,saudi
9,New Analyst Programme,"Riyad, Riyad, Arabie saoudite Sur site",Il y a 2 mois,Agoda,saudi
10,"Senior Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","La Mecque, La Mecque, Arabie saoudite",Il y a 1 semaine,Banque Saudi Fransi,saudi
11,Officer Administrative Support,"Riyad, Riyad, Arabie saoudite Sur site",Il y a 2 semaines,Agoda,saudi
12,"Senior Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Djeddah, La Mecque, Arabie saoudite",Il y a 1 semaine,NOV,saudi
13,Assembler.General.III,"Ras Al Khair, Province de l'Est, Arabie saoudite Sur site",Il y a 1 mois,Agoda,saudi
14,Associate Data Analyst- Customer Experience Group | Bangkok-based,"Djeddah, La Mecque, Arabie saoudite",Il y a 2 semaines,Agoda,saudi
